corporateID,corporateName,location,moddate,classSInfo,corporateKana
3210001013654,株式会社ネクサス,福井県鯖江市柳町３丁目４０３番地,2016-10-18T15:00:00.000Z,12,
9210001013129,株式会社西村金属,福井県鯖江市丸山町３丁目５番２６号,2018-08-16T15:00:00.000Z,12,ニシムラキンゾク
8210002013236,有限会社二谷商店,福井県鯖江市有定町３丁目５番１９号,2015-11-12T15:00:00.000Z,01,
6210005008061,医療法人たかはし内科婦人科医院,福井県鯖江市小黒町３丁目１１番２８号,2019-09-25T15:00:00.000Z,01,タカハシナイカフジンカイイン
7210001013403,渡邊電気株式会社,福井県鯖江市西山町２番１４号,2018-05-13T15:00:00.000Z,01,ワタナベデンキ
3210001018273,株式会社東さばえ動物病院,福井県鯖江市東鯖江１丁目１番１号,2021-01-11T15:00:00.000Z,01,ヒガシサバエドウブツビョウイン
7210002012890,有限会社加藤商店,福井県鯖江市住吉町１丁目１番２２号,2015-11-12T15:00:00.000Z,01,
8210005008027,社会福祉法人草の実福祉会,福井県鯖江市鳥羽１丁目３番１８－２号,2018-06-25T15:00:00.000Z,01,クサノミフクシカイ
7210002013427,有限会社マクロ技研,福井県鯖江市石田上町第４５号３番地の２,2015-11-12T15:00:00.000Z,01,
9210001013104,株式会社トミックス,福井県鯖江市杉本町８１３番地,2019-09-16T15:00:00.000Z,01,トミックス
7210001016331,株式会社中川建築,福井県鯖江市新横江２丁目５番１８－４号,2018-11-29T15:00:00.000Z,01,ナカガワケンチク
7210001013213,株式会社ふく竹,福井県鯖江市有定町２丁目３番２１号,2015-11-12T15:00:00.000Z,01,
9210001013005,株式会社セブン,福井県鯖江市御幸町１丁目２番３２号,2018-09-02T15:00:00.000Z,01,セブン
9210001012700,株式会社ウォンツ,福井県鯖江市石田下町第１２号１１番地１,2018-12-13T15:00:00.000Z,12,ウォンツ
7210001012925,株式会社サンユー,福井県鯖江市西袋町第３０号４番地,2015-11-12T15:00:00.000Z,01,
9210001012717,株式会社エカプラ,福井県鯖江市田所町第８号３番地の１,2016-10-03T15:00:00.000Z,21,
7210002013575,有限会社和田商事,福井県鯖江市糺町第１１号１番地,2015-11-12T15:00:00.000Z,01,
8210002012881,有限会社カトーモータース,福井県鯖江市小黒町１丁目１０番１３号,2018-09-19T15:00:00.000Z,01,カトーモータース
7210001013345,株式会社北陸山宗,福井県鯖江市杉本町１６字５番地の１,2018-11-21T15:00:00.000Z,01,ホクリクヤマソウ
4210001012779,甲斐運送株式会社,福井県鯖江市神中町２丁目９０９番１,2019-06-25T15:00:00.000Z,01,カイウンソウ
8210002013137,有限会社高島縫製,福井県鯖江市吉江町第１６号１２番地,2015-11-12T15:00:00.000Z,01,
9210005008018,社会福祉法人慈光保育園,福井県鯖江市西袋町１６号１２番地,2019-07-07T15:00:00.000Z,01,ジコウホイクエン
7210002012940,建築板金田中有限会社,福井県鯖江市糺町第２０号３番地の５,2015-11-12T15:00:00.000Z,01,
5210001016218,ソーシャルワークス株式会社,福井県鯖江市糺町第１９号９番地１,2019-04-24T15:00:00.000Z,01,ソーシャルワークス
8210002013046,有限会社咲和惟,福井県鯖江市丸山町１丁目５番５号,2015-11-12T15:00:00.000Z,01,
4210005008113,弘願真宗興隆山浄玄寺,福井県鯖江市中野町２０９号４番の１,2015-11-12T15:00:00.000Z,01,
1210002013168,有限会社大幸物流,福井県鯖江市川去町第９号３５番地１,2019-08-08T15:00:00.000Z,01,ダイコウブツリュウ
4210001013323,ミートカラー産業株式会社,福井県鯖江市杉本町第３０号６６番地,2020-11-16T15:00:00.000Z,01,ミートカラーサンギョウ
1210001012732,株式会社大森,福井県鯖江市磯部町７字４６番地,2019-08-01T15:00:00.000Z,01,オオモリ
4210001013406,株式会社ワカヤマ,福井県鯖江市石田下町第４３号６番地の１,2019-06-03T15:00:00.000Z,71,ワカヤマ
1210002013432,有限会社みのるや,福井県鯖江市下野田町３８号２１番地,2015-11-12T15:00:00.000Z,01,
4210002012621,有限会社名倉工芸,福井県鯖江市平井町第２１号８番地８,2015-11-12T15:00:00.000Z,01,
7210001013295,株式会社丸正,福井県鯖江市旭町２丁目３番４号,2020-11-12T15:00:00.000Z,01,マルショウ
9210001017204,株式会社五十嵐造林,福井県鯖江市糺町第３９号３７番地８,2018-07-08T15:00:00.000Z,01,イガラシゾウリン
